a,b,c,d
2.582397069782018661e-01,4.006607437622733414e-02,8.890611049719154835e-02,7.584019761998206377e-01
-7.714399919495917857e-02,-1.701662653358653188e-01,-6.624207885761279613e-02,-1.287527341046370566e-01
2.294188887462951243e-01,3.661181840579956770e-01,7.119752423022873700e-02,-1.712639816105365753e-01
