a,b,c,d
1.471289855630501520e-01,6.228499948654485883e-03,-4.292381906315036189e-02,-2.011493796239728626e-01
-8.326793270914450984e-02,5.392213651667470548e-02,6.230701499659082460e-02,8.894585609112097557e-02
1.707495537465033297e-01,3.840407107187353980e-02,-1.922786583233138807e-02,1.268730997715307451e-01
