a,b,c,d
3.996413648128509521e-01,2.276984155178070068e-01,3.585884571075439453e-01,1.732542514801025391e-01
1.266801655292510986e-01,2.749025821685791016e-01,1.564378440380096436e-01,3.023647069931030273e-01
1.141925305128097534e-01,2.760423123836517334e-01,1.488506048917770386e-01,3.464692234992980957e-01
3.594859242439270020e-01,2.213567048311233521e-01,3.361230790615081787e-01,1.779118031263351440e-01
